N,종목명,현재가,전일비,등락률,액면가,매출액,자산총계,영업이익
1.0,삼성전자,72000.0,1000.0,-1.37%,100.0,3022314.0,4484245.0,433766.0
2.0,LG에너지솔루션,569000.0,0.0,0.00%,500.0,255986.0,382994.0,12137.0
3.0,SK하이닉스,117300.0,600.0,-0.51%,5000.0,446216.0,1038715.0,68094.0
4.0,삼성바이오로직스,756000.0,10000.0,+1.34%,2500.0,30013.0,165821.0,9836.0
5.0,삼성전자우,59500.0,400.0,-0.67%,100.0,,,
6.0,삼성SDI,709000.0,2000.0,-0.28%,5000.0,201241.0,302575.0,18080.0
7.0,LG화학,676000.0,4000.0,-0.59%,5000.0,518649.0,679738.0,29957.0
8.0,현대차,205500.0,2500.0,-1.20%,5000.0,1425275.0,2557425.0,98198.0
9.0,기아,88000.0,900.0,-1.01%,5000.0,865590.0,737110.0,72331.0
10.0,POSCO홀딩스,403000.0,500.0,+0.12%,5000.0,847502.0,984068.0,48501.0
11.0,NAVER,187000.0,1700.0,-0.90%,100.0,82201.0,338990.0,13047.0
12.0,포스코퓨처엠,379500.0,4500.0,+1.20%,500.0,33019.0,46375.0,1659.0
13.0,셀트리온,153000.0,3100.0,+2.07%,1000.0,22840.0,58917.0,6472.0
14.0,현대모비스,232000.0,1500.0,+0.65%,5000.0,519063.0,554067.0,20265.0
15.0,카카오,48900.0,1050.0,-2.10%,100.0,71068.0,229635.0,5803.0
16.0,LG전자,128300.0,100.0,+0.08%,5000.0,834673.0,551561.0,35510.0
17.0,KB금융,47900.0,500.0,-1.03%,5000.0,888959.0,7011708.0,56389.0
18.0,삼성물산,103300.0,1600.0,-1.53%,100.0,431617.0,589815.0,25285.0
19.0,신한지주,33800.0,300.0,-0.88%,5000.0,354133.0,6758843.0,58881.0
20.0,SK이노베이션,167900.0,1200.0,+0.72%,5000.0,780569.0,672189.0,39173.0
21.0,LG,84900.0,2600.0,-2.97%,5000.0,71860.0,296337.0,19414.0
22.0,삼성생명,66700.0,700.0,-1.04%,500.0,403310.0,3161659.0,13866.0
23.0,한국전력,20300.0,300.0,-1.46%,5000.0,712579.0,2348050.0,-326552.0
24.0,HD현대중공업,136300.0,300.0,+0.22%,5000.0,90455.0,162894.0,-2892.0
25.0,하이브,280000.0,6000.0,-2.10%,500.0,17762.0,48704.0,2369.0
26.0,하나금융지주,39200.0,350.0,-0.88%,5000.0,708438.0,5688732.0,46903.0
27.0,두산에너빌리티,17820.0,100.0,-0.56%,5000.0,154211.0,230498.0,11061.0
28.0,KT&G,82200.0,100.0,-0.12%,5000.0,58514.0,123017.0,12676.0
29.0,카카오뱅크,23350.0,400.0,-1.68%,5000.0,16058.0,395161.0,3532.0
30.0,SK,146800.0,900.0,-0.61%,200.0,1345516.0,1945059.0,80047.0
31.0,삼성화재,226500.0,500.0,+0.22%,500.0,257844.0,882243.0,16061.0
32.0,삼성전기,142800.0,1200.0,-0.83%,5000.0,94246.0,109972.0,11828.0
33.0,SK텔레콤,45100.0,700.0,-1.53%,100.0,173050.0,313083.0,16121.0
34.0,대한항공,25750.0,850.0,+3.41%,5000.0,140961.0,289977.0,28306.0
35.0,HMM,19050.0,100.0,-0.52%,5000.0,185828.0,259735.0,99516.0
36.0,고려아연,464000.0,11000.0,-2.32%,5000.0,112194.0,120979.0,9192.0
37.0,삼성에스디에스,118300.0,2100.0,-1.74%,500.0,172347.0,119524.0,9161.0
38.0,메리츠금융지주,42900.0,500.0,+1.18%,500.0,703656.0,927572.0,22009.0
39.0,크래프톤,178500.0,4500.0,-2.46%,100.0,18540.0,60303.0,7516.0
40.0,HD한국조선해양,121900.0,3000.0,+2.52%,5000.0,173020.0,298835.0,-3556.0
41.0,우리금융지주,11730.0,80.0,-0.68%,5000.0,423727.0,4804744.0,44305.0
42.0,한화오션,39100.0,700.0,+1.82%,5000.0,48602.0,122357.0,-16136.0
43.0,기업은행,10250.0,70.0,-0.68%,5000.0,275361.0,4319797.0,37748.0
44.0,포스코인터내셔널,46150.0,3050.0,+7.08%,5000.0,379896.0,125163.0,9025.0
